Name	Consensus length	Total read count	Single reads	Reads in pairs	Average coverage	Reference sequence	Reference length	Reference common name	Reference latin name
seed-3894	22304	2997	2477	520	15.434	seed-3894	27488		
seed-4780	32401	670	96	574	2.616	seed-4780	38032		
seed-4809	15398	377	107	270	2.977	seed-4809	18126		
seed-4816	7760	1163	969	194	16.709	seed-4816	9417		
seed-4833	26398	1418	942	476	5.74	seed-4833	34663		
seed-4880	14139	6044	4576	1468	52.975	seed-4880	16107		
seed-5041	6690	130	46	84	2.081	seed-5041	9243		
seed-5119	5322	82	0	82	1.628	seed-5119	7556		
seed-5232	13847	1357	1049	308	12.236	seed-5232	16020		
seed-5366	21344	732	340	392	4.01	seed-5366	26637		
seed-5394	23993	2795	2309	486	13.14	seed-5394	29136		
seed-5474	30542	629	145	484	2.603	seed-5474	35483		
seed-5547	14743	1441	1167	274	11.427	seed-5547	18287		
seed-5587	15326	2273	1899	374	19.016	seed-5587	16507		
seed-5609	21043	1303	895	408	7.159	seed-5609	24723		
seed-5691	8278	1375	1131	244	19.48	seed-5691	9602		
seed-5859	12578	5767	4665	1102	49.425	seed-5859	15688		
seed-5938	5507	107	17	90	2.325	seed-5938	6857		
seed-6057	8339	121	25	96	1.653	seed-6057	10979		
seed-6141	27014	3511	2227	1284	14.974	seed-6141	33201		
seed-6390	21065	670	382	288	3.577	seed-6390	27007		
seed-6656	10625	468	284	184	4.813	seed-6656	13738		
seed-6670	15779	3339	2933	406	23.726	seed-6670	18721		
seed-6809	3204	60	12	48	2.429	seed-6809	3653		
seed-6810	27133	799	353	446	3.424	seed-6810	33678		
seed-6856	1468	21	1	20	1.262	seed-6856	2456		
seed-6967	22660	8364	7460	904	45.469	seed-6967	26641		
seed-7028	11387	2604	2186	418	29.432	seed-7028	12486		
seed-7119	26373	869	519	350	3.824	seed-7119	31371		
seed-7192	9535	285	129	156	3.723	seed-7192	11077		
seed-7193	6892	1399	1133	266	26.09	seed-7193	7348		
seed-7279	13174	760	504	256	6.775	seed-7279	16202		
seed-7384	13489	1751	1533	218	14.023	seed-7384	17174		
seed-7668	5309	106	20	86	2.556	seed-7668	6131		
seed-7726	9588	798	500	298	5.118	seed-7726	22019		
seed-7853	4886	93	11	82	2.553	seed-7853	5459		
seed-7936	11602	3178	2598	580	28.915	seed-7936	15095		
seed-7982	11589	3546	3078	468	35.361	seed-7982	13709		
seed-8144	6831	802	696	106	11.175	seed-8144	9674		
seed-8258	14956	841	541	300	6.342	seed-8258	18580		
seed-8290	13518	422	232	190	3.235	seed-8290	16968		
seed-8379	6459	5814	4720	1094	110.838	seed-8379	7467		
seed-8480	15130	10377	8093	2284	80.447	seed-8480	18501		
seed-8493	15680	702	394	308	5.611	seed-8493	17668		
seed-8498	10182	239	55	184	2.945	seed-8498	12051		
seed-8532	14858	330	96	234	2.44	seed-8532	19578		
seed-8625	25504	3402	2468	934	16.674	seed-8625	29233		
seed-8673	11817	221	25	196	2.375	seed-8673	13848		
seed-8725	8024	1240	1020	220	19.384	seed-8725	8820		
seed-8729	7655	295	163	132	4.061	seed-8729	9405		
seed-8737	10834	198	24	174	2.202	seed-8737	13361		
seed-8876	15346	342	132	210	2.442	seed-8876	20405		
seed-8881	5633	162	62	100	3.662	seed-8881	6599		
seed-8951	2364	38	10	28	1.901	seed-8951	2968		
